,state,city,company,rank,rank_change,revenue,profit,num..of.employees,sector,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market.Cap,lat,lng,ranking_in_groups
1,AL,Birmingham,Regions Financial,446,1,6755,1582,19564,Financials,no,no,no,yes,447,John M. Turner Jr.,https://www.regions.com,RF,8587.8,33.5277,-86.7987,3
2,AL,Birmingham,Encompass Health,583,0,4605,358.7,35690,Health Care,,no,no,yes,NA,Mark J. Tarr,https://www.encompasshealth.com,EHC,8614,33.5277,-86.7987,3
3,AL,Birmingham,Vulcan Materials,551,0,4929.1,617.7,9173,Materials,,no,no,yes,NA,J. Thomas Hill,https://www.vulcanmaterials.com,VMC,14325.2,33.5277,-86.7987,3
4,AR,Bentonville,Walmart,1,0,523964,14881,2200000,Retailing,no,no,no,yes,1,C. Douglas McMillon,https://www.stock.walmart.com,WMT,411690,36.3546,-94.2306,1
5,AR,El Dorado,Murphy USA,262,-5,12101.3,154.8,7250,Retailing,no,no,no,yes,257,R. Andrew Clyde,https://www.murphyusa.com,MUSA,3575,33.2184,-92.664,2
6,AR,El Dorado,Murphy Oil,625,0,4194,1149.7,822,Energy,,no,no,yes,NA,Roger W. Jenkins,https://www.murphyoilcorp.com,MUR,941.4,33.2184,-92.664,4
7,AR,Fort Smith,ArcBest,786,0,2988.3,40,13000,Transportation,,no,yes,yes,NA,Judy R. McReynolds,https://www.arcb.com,ARCB,443.9,35.3493,-94.3695,4
8,AR,Little Rock,Windstream Holdings,543,0,5115.4,-3090,11945,Telecommunications,,no,no,no,NA,Anthony W. Thomas,https://www.windstream.com,WINMQ,2.2,34.7256,-92.3576,3
9,AR,Little Rock,Dillard&#8217;s,468,-10,6343.2,111.1,30400,Retailing,no,no,no,yes,458,William T. Dillard II,https://www.dillards.com,DDS,863.8,34.7256,-92.3576,3
10,AR,Lowell,J.B. Hunt Transport Services,346,8,9165.3,516.3,29056,Transportation,no,no,no,yes,354,John N. Roberts III,https://www.jbhunt.com,JBHT,9800.3,36.2561,-94.1532,2
11,AR,Springdale,Tyson Foods,79,1,42405,2022,141000,"Food, Beverages & Tobacco",no,no,no,yes,80,Dean Banks,https://www.tysonfoods.com,TSN,24169,36.1899,-94.1574,1
